[2026-07-22 08:17:53.484]	   "tmux-cpu" download success
[2026-07-22 08:17:53.507]	   "tmux" download success
[2026-07-22 08:17:53.552]	   "tmux-copycat" download success
[2026-07-22 08:17:56.841]	   "tmux-resurrect" download success
[2026-07-22 08:17:56.954]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/update_plugins all
[2026-07-22 08:17:54.963]	 Updating all plugins!
[2026-07-22 08:17:54.963]	 
[2026-07-22 08:18:00.192]	   "tmux-copycat" update fail
[2026-07-22 08:18:00.201]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-copycat/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:00.238]	   "tmux-cpu" update fail
[2026-07-22 08:18:00.245]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-cpu/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:00.268]	   "tmux-resurrect" update fail
[2026-07-22 08:18:00.274]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-resurrect/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:00.729]	   "tmux-prefix-highlight" update fail
[2026-07-22 08:18:00.738]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-prefix-highlight/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:00.787]	   "tmux-open" update fail
[2026-07-22 08:18:00.796]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-open/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:00.873]	   "tmux-sensible" update fail
[2026-07-22 08:18:00.881]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-sensible/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:01.102]	   "tmux" update fail
[2026-07-22 08:18:01.107]	     | 致命错误：无法访问 'https://github.com/catppuccin/tmux/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:01.707]	   "tmux-continuum" update fail
[2026-07-22 08:18:01.713]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-continuum/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:01.752]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/clean_plugins all
[2026-07-22 08:18:02.036]	 Done.

[2026-07-22 08:17:57.269]	 Updating all plugins!
[2026-07-22 08:17:57.269]	 
[2026-07-22 08:18:02.382]	   "tmux-copycat" update fail
[2026-07-22 08:18:02.384]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-copycat/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:02.512]	   "tmux-cpu" update fail
[2026-07-22 08:18:02.515]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-cpu/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:02.665]	   "tmux-resurrect" update fail
[2026-07-22 08:18:02.670]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-resurrect/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:02.835]	   "tmux-open" update fail
